date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:28	14887/14887	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2000:54:01%20GMT	https://preview.colorlib.com/theme/academica/courses.html	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/courses.html	(from )
11:18:30	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
11:18:30	16958/16958	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22423e-5718bf9545640%22	https://preview.colorlib.com/theme/academica/img/favicon.ico	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/img/favicon.ico	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:31	19871/19871	---M-Z	200	added ('OK')	text/css	etag:%224d9f-5c1f9a29e3e6d-gzip%22	https://preview.colorlib.com/theme/academica/css/bootstrap.min.css	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:31	1391/1391	---M-Z	200	added ('OK')	text/css	etag:%2256f-5c1f9a29e3e6d-gzip%22	https://preview.colorlib.com/theme/academica/css/font-awesome.min.css	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:32	1180/1180	---M-Z	200	added ('OK')	text/css	etag:%2249c-5c1f9a29e3e6d-gzip%22	https://preview.colorlib.com/theme/academica/css/flaticon.css	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/css/flaticon.css	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:32	3958/3958	---M-Z	200	added ('OK')	text/css	etag:%22f76-5c1f9a29e4e0d-gzip%22	https://preview.colorlib.com/theme/academica/css/owl.carousel.css	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/css/owl.carousel.css	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:33	28889/28889	---M-Z	200	added ('OK')	text/css	etag:%2270d9-5c1f9a29e4e0d-gzip%22	https://preview.colorlib.com/theme/academica/css/style.css	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/css/style.css	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:33	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sat,%2002%20Mar%202024%2009:18:35%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:35	3252/3252	---M--	200	added ('OK')	image/png	etag:%22cb4-5718bf9639880%22	https://preview.colorlib.com/theme/academica/img/logo.png	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/img/logo.png	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:36	18210/18210	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2000:54:02%20GMT	https://preview.colorlib.com/theme/academica/index.html	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/index.html	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:37	12989/12989	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2000:53:59%20GMT	https://preview.colorlib.com/theme/academica/about.html	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/about.html	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:37	11507/11507	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2000:53:59%20GMT	https://preview.colorlib.com/theme/academica/blog.html	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/blog.html	(from https://preview.colorlib.com/theme/academica/courses.html)
11:18:38	8653/8653	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2000:54:00%20GMT	https://preview.colorlib.com/theme/academica/contact.html	C:/Users/Administrator/Downloads/DATA%20DECSISIONS%20ACADEMY/preview.colorlib.com/theme/academica/contact.html	(from https://preview.colorlib.com/theme/academica/courses.html)
